dataset,method,tau,layers,selection,best_epoch,label,recall@3,ndcg@3,arhr@3,recall@5,ndcg@5,arhr@5,recall@10,ndcg@10,arhr@10,recall@20,ndcg@20,arhr@20,recall@50,ndcg@50,arhr@50
amazon-music,LightGCN,,,test-frame,370,amazon-music__lightgcn,0.10156135427805682,0.09275668082541468,,0.13609373675932607,0.10578209313628328,,0.20219459393833458,0.12817216796251785,,0.2891100181280622,0.15246889799954697,,0.41973964152293924,0.18232379513064814,
amazon-music,LightGCN,,,test-frame,320,lightgcn__amazon-music,0.0995738683194673,0.09142315421414712,,0.13403733723000077,0.10426887669664364,,0.19910447576831267,0.1263215983198154,,0.28596450915295557,0.1508572219897013,,0.4288945615669927,0.18359184805137146,
amazon-music,LightGCN,,1,val-best-recall@20,160,lightgcn__L1,0.07992542843863336,0.07289569713701469,0.052796537753501724,0.10722433932939492,0.08261604495328115,0.0589524177170489,0.16158312421888366,0.10130848322073842,0.06614254849827304,0.23464101429007297,0.12220114472365018,0.07117886163851476,0.35390397056987993,0.14963202142763926,0.0749992243715363
amazon-music,LightGCN,,2,val-best-recall@20,250,lightgcn__L2,0.08999561609584646,0.08148979297099429,0.05996803898783105,0.11908622482846855,0.09229744855659598,0.06660422088937708,0.1795862222355318,0.11305644420151949,0.07450660150356056,0.25490333574995494,0.13437429405905565,0.07964341961049612,0.3821103617569179,0.1636055674271602,0.08370781796201147
amazon-music,LightGCN,,3,val-best-recall@20,360,lightgcn__L3,0.08972958294312243,0.08201683507733964,0.06022082005601616,0.12449360606644802,0.09516114468420454,0.0681084105597602,0.18573410552238734,0.11610306493812261,0.07616088475439668,0.26092924602490897,0.13733906812706587,0.08126636745114474,0.3880903286835247,0.16661178975628174,0.0853509509770974
amazon-music,LightGCN,,4,val-best-recall@20,430,lightgcn__L4,0.0916531664229745,0.08328952494611545,0.060968443749350634,0.12366410994797965,0.0952424898406113,0.06809506648404193,0.1859738466758862,0.11626047287675234,0.0762917678621129,0.2675122218840912,0.13923422889931586,0.08186600333492429,0.39526435216081046,0.168745883860416,0.08597304489050821
amazon-music,hccf,,,test-frame,600,hccf__amazon-music,0.006995274167353141,0.006619056186734611,,0.011357070008787572,0.008346480734127528,,0.016142078895142825,0.009887071198874995,,0.02604727807937237,0.012728375166404763,,0.04405741576525161,0.01674829626452625,
amazon-music,hccf,,,test-frame,600,hccf__amazon-music,0.006995274167353141,0.006619056186734611,,0.011080419326382556,0.00823138473265135,,0.015896167177449478,0.009797707593626344,,0.026039900727841576,0.01270732582053106,,0.04457431572448203,0.016850528639242936,
amazon-music,hccf,,,test-frame,600,hccf__amazon-music__clw0.001,0.007708086873985065,0.00709678746085126,,0.011823745322666406,0.008691873997752637,,0.021921606914280998,0.012288878235040254,,0.03792231761139823,0.016809957078965286,,0.0752512534606211,0.025224636041951277,
amazon-music,hccf,,,test-frame,600,hccf__amazon-music__clw1e-05,0.00761586997985006,0.007072188275804075,,0.011981831426897845,0.008754270935497225,,0.021967715361348502,0.012322119386988087,,0.037913095921984726,0.016811924174028783,,0.07502480606539136,0.02518861931837752,
